Date,Equity,Holding
2014-06-16,19928.53607784067,QLD
2014-06-17,19948.53078087901,QLD
2014-06-18,20192.003503284,QLD
2014-06-19,20148.400137250042,QLD
2014-06-20,20186.54937536098,QLD
2014-06-23,20197.451982187933,QLD
2014-06-24,20161.109017928247,QLD
2014-06-25,20421.364976023844,QLD
2014-06-26,20437.74289459537,QLD
2014-06-27,20608.816376199364,QLD
2014-06-30,20692.53201447502,QLD
2014-07-01,21149.33429346706,QLD
2014-07-02,21213.026983608972,QLD
2014-07-03,21462.361975565604,QLD
2014-07-07,21338.608914551078,QLD
2014-07-08,20834.489039479107,QLD
2014-07-09,21140.235135981824,QLD
2014-07-10,21009.1990771167,QLD
2014-07-11,21258.534069073332,QLD
2014-07-14,21536.97845635602,QLD
2014-07-15,21387.744082520418,QLD
2014-07-16,21549.71981889394,QLD
2014-07-17,20981.90019240621,QLD
2014-07-18,21624.334887429588,QLD
2014-07-21,21575.198307205475,QLD
2014-07-22,21868.20021666073,QLD
2014-07-23,22135.73493584261,QLD
2014-07-24,22092.053895796285,QLD
2014-07-25,21897.322322279717,QLD
2014-07-28,21922.796573826938,QLD
2014-07-29,21857.284899540846,QLD
2014-07-30,22024.716176092155,QLD
2014-07-31,21125.671964790174,QLD
2014-08-01,20974.625668084238,QLD
2014-08-04,21249.430674823783,QLD
2014-08-05,20934.584008581056,QLD
2014-08-06,20892.726189443227,QLD
2014-08-07,20768.97030391916,QLD
2014-08-08,21058.339894105124,QLD
2014-08-11,21313.12760173,QLD
2014-08-12,21282.187924221602,QLD
2014-08-13,21746.27178880947,QLD
2014-08-14,21970.115582161634,QLD
2014-08-15,22173.951962182527,QLD
2014-08-18,22525.196670620982,QLD
2014-08-19,22772.708441669118,QLD
2014-08-20,22785.44415518796,QLD
2014-08-21,22863.700016521518,QLD
2014-08-22,22927.399767937277,QLD
2014-08-25,23094.83245674336,QLD
2014-08-26,23149.427401654797,QLD
2014-08-27,23151.252034818066,QLD
2014-08-28,23083.91007834962,QLD
2014-08-29,23269.545318890494,QLD
2014-09-02,23402.400361899803,QLD
2014-09-03,23127.586881631636,QLD
2014-09-04,23065.71317563391,QLD
2014-09-05,23324.141676056704,QLD
2014-09-08,23398.7638058662,QLD
2014-09-09,23016.57941991934,QLD
2014-09-10,23373.283905299897,QLD
2014-09-11,23355.085590329418,QLD
2014-09-12,23107.57099477174,QLD
2014-09-15,22652.593348942963,QLD
2014-09-16,23051.155653461345,QLD
2014-09-17,23134.86705497269,QLD
2014-09-18,23469.738081603933,QLD
2014-09-19,23427.877437956566,QLD
2014-09-22,23009.296422068746,QLD
2014-09-23,22881.899743746766,QLD
2014-09-24,23369.644524756754,QLD
2014-09-25,22390.52405572226,QLD
2014-09-26,22878.264599967937,QLD
2014-09-29,22810.922643499493,QLD
2014-09-30,22880.082171857353,QLD
2014-10-01,22139.375728640523,QLD
2014-10-02,22124.812557448873,QLD
2014-10-03,22568.874886157766,QLD
2014-10-06,22470.601725709545,QLD
2014-10-07,21835.44155500814,QLD
2014-10-08,22703.55032556603,QLD
2014-10-09,21941.0005378165,QLD
2014-10-10,20841.76497605585,QLD
2014-10-13,20158.956048095708,TLT
2014-10-14,20290.807752088833,TLT
2014-10-15,20451.029423982334,TLT
2014-10-16,20320.845224326302,TLT
2014-10-17,20207.34812644032,TLT
2014-10-20,20280.794112924046,TLT
2014-10-21,20118.901491436558,TLT
2014-10-22,20100.330064596554,QLD
2014-10-23,20716.74938641602,QLD
2014-10-24,21032.554156166385,QLD
2014-10-27,21088.291810225703,QLD
2014-10-28,21711.46161183778,QLD
2014-10-29,21544.269617952716,QLD
2014-10-30,21648.976099022464,QLD
2014-10-31,22234.99532770483,QLD
2014-11-03,22363.342248490928,QLD
2014-11-04,22224.86240016523,QLD
2014-11-05,22211.35095643356,QLD
2014-11-06,22359.968974372077,QLD
2014-11-07,22309.304336674086,QLD
2014-11-10,22479.87615726953,QLD
2014-11-11,22608.22569909224,QLD
2014-11-12,22692.667635601098,QLD
2014-11-13,22881.817363698006,QLD
2014-11-14,23018.606643409363,QLD
2014-11-17,22876.745657854986,QLD
2014-11-18,23233.091311391883,QLD
2014-11-19,23018.606643409363,QLD
2014-11-20,23226.33427900774,QLD
2014-11-21,23312.46416309433,QLD
2014-11-24,23683.998723794175,QLD
2014-11-25,23754.931837607975,QLD
