Date,Wealth,Invested
2022-02-23,165371.1974778123,72464.67467187936
2022-02-24,164391.02718405466,72488.69030996927
2022-02-25,166577.8039981082,72512.7059480592
2022-02-28,166499.2332978369,72536.72158614911
2022-03-01,165881.07807261177,72560.73722423904
2022-03-02,167361.9811835192,72584.75286232895
2022-03-03,167988.22530049857,72608.76850041887
2022-03-04,167657.126542994,72632.78413850878
2022-03-07,166055.94491560088,72656.79977659871
2022-03-08,165309.79154053182,72680.81541468864
2022-03-09,166192.91278358514,72704.83105277855
2022-03-10,166194.0302064797,72728.84669086846
2022-03-11,165628.97774093822,72752.86232895838
2022-03-14,165910.5356657258,72776.8779670483
2022-03-15,166503.70887400451,72800.89360513823
2022-03-16,167504.86651882512,72824.90924322815
2022-03-17,168418.72011522547,72848.92488131806
2022-03-18,168564.15006981857,72872.94051940797
2022-03-21,168535.0343340391,72896.9561574979
2022-03-22,169138.55687419593,72920.97179558783
2022-03-23,168518.6161406679,72944.98743367774
2022-03-24,169144.29306140123,72969.00307176766
2022-03-25,169723.28598396378,72993.01870985757
2022-03-28,169490.60636290134,73017.0343479475
2022-03-29,170262.9929126423,73041.04998603743
2022-03-30,169174.13078465342,73065.06562412734
2022-03-31,168222.16613500193,73089.08126221725
2022-04-01,168873.28315823144,73113.09690030717
2022-04-04,169077.53340222503,73137.1125383971
2022-04-05,168605.32799838888,73161.12817648701
2022-04-06,168523.30411685386,73185.14381457694
2022-04-07,168558.82669066417,73209.15945266685
2022-04-08,168748.68937665646,73233.17509075676
2022-04-11,168264.6506008925,73257.19072884669
2022-04-12,167917.46970701232,73281.2063669366
2022-04-13,168716.59991085037,73305.22200502653
2022-04-14,168203.4834411508,73329.23764311644
2022-04-18,167917.25452293636,73353.25328120636
2022-04-19,168800.4104602323,73377.26891929627
2022-04-20,169578.54962562397,73401.2845573862
2022-04-21,169016.40201660298,73425.30019547613
2022-04-22,167163.58779733718,73449.31583356604
2022-04-25,166897.466831137,73473.33147165595
2022-04-26,165785.13302087307,73497.34710974587
2022-04-27,165628.18647248365,73521.3627478358
2022-04-28,166854.80672233566,73545.37838592572
2022-04-29,165144.61390345916,73569.39402401564
2022-05-02,165771.26297516274,73593.40966210555
2022-05-03,166254.43967525425,73617.42530019546
2022-05-04,168431.3451552962,73641.44093828539
2022-05-05,166642.39643012107,73665.45657637532
