Date,PV_KRW,Signal
2014-02-10,152225906.40852404,NORMAL
2014-02-11,154382381.6228241,NORMAL
2014-02-12,154490225.93331388,NORMAL
2014-02-13,154527560.8769926,NORMAL
2014-02-14,156343139.85867885,NORMAL
2014-02-17,155381856.50837466,NORMAL
2014-02-18,155968761.4048913,NORMAL
2014-02-19,155006790.88931394,NORMAL
2014-02-20,156127294.27141312,NORMAL
2014-02-21,156909073.95958987,NORMAL
2014-02-24,158549951.40000662,NORMAL
2014-02-25,158503196.06671578,NORMAL
2014-02-26,158411539.5533565,NORMAL
2014-02-27,158723371.00774965,NORMAL
2014-02-28,158877880.3318108,NORMAL
2014-03-03,157596496.78133288,NORMAL
2014-03-04,160099542.19756624,NORMAL
2014-03-05,160648534.51466274,NORMAL
2014-03-06,161173392.5873806,NORMAL
2014-03-07,159115019.70088243,NORMAL
2014-03-10,158911873.3745769,NORMAL
2014-03-11,158393374.74838883,NORMAL
2014-03-12,158852273.0162443,NORMAL
2014-03-13,156404839.616188,NORMAL
2014-03-14,155539973.3350867,NORMAL
2014-03-17,157927204.09046698,NORMAL
2014-03-18,159028612.6718186,NORMAL
2014-03-19,157300574.30975053,NORMAL
2014-03-20,157740877.98493627,NORMAL
2014-03-21,157081892.83657935,NORMAL
2014-03-24,156052136.22326085,NORMAL
2014-03-25,156429916.26090077,NORMAL
2014-03-26,154862720.98683837,NORMAL
